"","Accession","Gene_Name"
"396","P35908","KRT2"
"397","P39019","RPS19"
"398","Q99613","EIF3C"
"399","P11142","HSPA8"
"400","P55884","EIF3B"
"401","P62280","RPS11"
"402","Q02878","RPL6"
"403","P63261","ACTG1"
"404","P02533","KRT14"
"405","P13639","EEF2"
"406","P15880","RPS2"
"407","P62258","YWHAE"
"408","P63104","YWHAZ"
"409","Q9Y262","EIF3L"
"410","P18124","RPL7"
"411","P25398","RPS12"
"412","P60228","EIF3E"
"413","P40429","RPL13A"
"414","P46782","RPS5"
"415","P24534","EEF1B2"
"416","Q9Y230","RUVBL2"
"417","P13647","KRT5"
"418","Q05639","EEF1A2"
"419","O60664","PLIN3"
"420","P26640","VARS1"
"421","P62753","RPS6"
"422","Q9UQ80","PA2G4"
"423","P62424","RPL7A"
"424","P62081","RPS7"
"425","P05787","KRT8"
"426","P62263","RPS14"
"427","P08708","RPS17"
"428","P12956","XRCC6"
"429","Q13148","TARDBP"
"430","P49327","FASN"
"431","Q5T4S7","UBR4"
"432","P49368","CCT3"
"433","Q9Y265","RUVBL1"
"434","P08727","KRT19"
"435","P05387","RPLP2"
"436","P49748","ACADVL"
"437","Q13509","TUBB3"
"438","O15371","EIF3D"
"439","P13010","XRCC5"
"440","P46777","RPL5"
"441","O14562","UBFD1"
"442","P18621","RPL17"
"443","P36578","RPL4"
"444","Q9NY65","TUBA8"
"445","Q9Y4E8","USP15"
"446","P39023","RPL3"
"447","Q13347","EIF3I"
"448","O60506","SYNCRIP"
"449","P15311","EZR"
"450","P61353","RPL27"
"451","P46781","RPS9"
"452","P62851","RPS25"
"453","P07814","EPRS1"
"454","P0DP25","CALM3"
"455","P31948","STIP1"
"456","Q14204","DYNC1H1"
"457","Q99832","CCT7"
"458","O00303","EIF3F"
"459","P11021","HSPA5"
"460","P05388","RPLP0"
"461","P50990","CCT8"
"462","P61981","YWHAG"
"463","P11940","PABPC1"
"464","P26373","RPL13"
"465","P27635","RPL10"
"466","P35579","MYH9"
"467","P40939","HADHA"
"468","P60866","RPS20"
"469","Q02543","RPL18A"
"470","Q07020","RPL18"
"471","Q58FF6","HSP90AB4P"
"472","Q9UHD9","UBQLN2"
"473","P12268","IMPDH2"
"474","P17706","PTPN2"
"475","P31946","YWHAB"
"476","P62277","RPS13"
"477","P62750","RPL23A"
"478","P78371","CCT2"
"479","Q13310","PABPC4"
"480","P0DMV9","HSPA1B"
"481","P27348","YWHAQ"
